placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
22t-222@627-s8t-tn5,Green Park Gourmet,40.6889,-73.945167,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,319,0.9847,0.9606,0.667,0.8997,0.8298,1.042,,0,none,
22w-222@627-s8t-zpv,Sun Fish Market,40.680064,-73.940821,Specialty Food Stores,Fish and Seafood Markets,Brooklyn,81,0.96,0.9455,0.385,0.8056,0.7995,0.061,,0,none,
22z-222@627-wh4-s3q,Hai Sun Chinese Restaurant,40.657572,-73.960074,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,100,0.9787,0.9489,0.83,0.85,0.7971,0.781,,0,none,
232-222@627-rwc-psq,Azul Tequila,40.854606,-73.864378,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,66,0.963,0.8213,1.856,0.8371,0.6125,2.691,,0,none,
232-223@627-s9r-cwk,Mother Earth Juice bar and Health foods,40.683735,-73.792715,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,78,0.8814,0.866,0.336,0.6827,0.6506,0.478,,0,none,
235-224@627-s7k-b8v,Koi Asian Cuisine,40.727583,-73.892345,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,65,0.7867,0.8785,-1.981,0.5769,0.6881,-1.585,,0,none,
237-223@627-wc8-6ff,AllAntico Vinaio,40.732812,-74.003064,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,87,0.9679,0.9607,0.241,0.8247,0.8326,-0.065,,0,none,
238-224@627-wc3-cdv,Sound + Fury Brewery and Kitchen,40.691642,-73.986015,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,92,0.9872,0.9669,0.553,0.894,0.8514,0.622,,0,none,
23k-222@627-wg9-z9f,Mondys Thrifty,40.651811,-73.952428,Used Merchandise Stores,Used Merchandise Stores,Brooklyn,383,0.9556,0.9363,0.526,0.8035,0.7755,0.398,,0,none,
22c-222@627-s8n-9zz,Cafe Luka,40.767078,-73.956884,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,55,0.9102,0.9217,-0.238,0.7273,0.7491,-0.253,,0,none,
22c-223@627-s4v-7kf,Smosh1,40.799715,-73.951887,Performing Arts Companies,Other Performing Arts Companies,Manhattan,136,0.9002,0.9169,-0.37,0.7096,0.7367,-0.324,,0,none,
22c-225@627-wgt-y7q,MrBeast Burger,40.652598,-74.006678,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,104,0.9823,0.9468,0.997,0.8846,0.789,1.436,,0,none,
22f-222@627-wg7-f9f,Ceci's Latin Cuisine,40.658393,-73.895754,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,237,0.925,0.9184,0.155,0.7563,0.7358,0.283,,0,none,
22g-223@627-wc7-wff,Nookhub,40.719043,-73.990885,Amusement Parks and Arcades,Amusement and Theme Parks,Manhattan,270,0.9767,0.9785,0.011,0.838,0.8656,-0.332,,0,none,
22j-222@627-s6m-5s5,Charlie's Pizza,40.851926,-73.932042,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,96,0.7595,0.8556,-2.399,0.5755,0.6367,-0.785,,0,none,
22j-222@627-wdg-cwk,West Grill and Deli,40.576263,-73.985923,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,169,0.9312,0.947,-0.495,0.7234,0.8066,-1.312,,0,none,
22k-222@627-s4v-rrk,Wing Wah Restaurant,40.797539,-73.934002,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,117,0.8371,0.9222,-2.118,0.6197,0.7543,-1.777,,0,none,
22m-222@627-tmp-pd9,Harbor Light Pub,40.57777,-73.849732,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,328,0.6729,0.8377,-3.557,0.4596,0.5987,-1.986,,0,none,
22m-225@627-s7t-2p9,Mjd 1 Corp,40.752248,-73.868711,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Queens,62,0.8036,0.8541,-1.089,0.5726,0.6602,-1.245,,0,none,
22m-225@627-s8v-p35,Cafe Ornithology,40.695389,-73.93216,Drinking Places (Alcoholic Beverages),,Brooklyn,273,0.9624,0.9555,0.164,0.8452,0.8275,0.241,,0,none,
22n-222@627-s65-b6k,Geshmake Fish,40.886614,-73.907646,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,62,0.9168,0.9302,-0.18,0.7903,0.7677,0.27,,0,none,
22w-222@627-s7t-s5z,Sezam,40.729516,-73.861607,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,144,0.943,0.8866,1.219,0.7604,0.6868,1.076,,0,none,
22y-222@627-s8y-m6k,Moot Bar,40.694172,-73.961027,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Brooklyn,125,0.9942,0.9497,1.257,0.94,0.807,2.01,,0,none,
232-224@627-s8j-ks5,Mira,40.745317,-73.977842,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,137,0.9686,0.9508,0.509,0.8686,0.8122,0.805,,0,none,
234-224@627-rwt-g49,Bradys Restaurant,40.830821,-73.818097,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Bronx,96,0.9272,0.9386,-0.153,0.7188,0.7737,-0.659,,0,none,
239-226@627-s96-mff,Sushi Shiro Bar and Grill,40.713938,-73.949971,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,208,0.9512,0.9594,-0.274,0.7788,0.8219,-0.693,,0,none,
23c-224@627-s7s-3bk,Angelo's Restaurant,40.748944,-73.869787,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,299,0.9067,0.8892,0.382,0.6931,0.6695,0.357,,0,none,
23f-222@627-s7s-vvf,Lee Stop 1 Market,40.740401,-73.856656,Specialty Food Stores,,Queens,158,0.7745,0.8888,-2.467,0.5585,0.7092,-2.153,,0,none,
23k-225@627-wg4-ty9,New China,40.644124,-73.95847,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,86,0.9379,0.9234,0.385,0.7616,0.7545,0.077,,0,none,
23w-222@627-s96-sh5,Sem Sem Deli,40.704035,-73.941097,Specialty Food Stores,,Brooklyn,129,0.9015,0.9499,-1.441,0.7422,0.8073,-1.032,,0,none,
zzw-222@627-wc7-zmk,Children's Magical Garden,40.720531,-73.986605,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Manhattan,93,0.9861,0.9683,0.513,0.8952,0.8617,0.495,,0,none,
zzz-222@627-wc2-kvf,Cobble Hill Park,40.68834,-73.996051,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,166,0.8003,0.9566,-4.573,0.5497,0.8205,-4.192,,0,none,
zzy-222@627-s7s-5j9,Newtown Playground,40.736297,-73.869505,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Queens,844,0.8953,0.9233,-0.603,0.6718,0.7327,-0.861,,0,none,
zzy-222@627-s88-zmk,Park,40.668317,-73.843348,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Queens,1128,0.97,0.9435,0.575,0.8225,0.7625,0.88,,0,none,
zzy-223@627-s4t-9fz,Langston Hughes Playground,40.812221,-73.946374,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Manhattan,250,0.8781,0.9107,-0.777,0.645,0.714,-0.89,,0,none,
zzy-224@627-s9r-syv,110 Sutphin Deli Grocery,40.689649,-73.796847,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,315,0.8631,0.8858,-0.489,0.619,0.6757,-0.8,,0,none,
223-222@627-s4r-3wk,Mauney Sweet,40.768742,-73.990174,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,128,0.9974,0.9373,1.592,0.9492,0.7759,2.385,,0,none,
